,id,account,total_appraised_value_2019,pct_value_change,latitude,longitude,acreage,zip_code,neighborhood_code,sq_ft,neighborhood,new_owner_date,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
133,15367,1211410010013,288777.0,3.367219100118123,29.754690000000004,-95.37979,0.0571,77019,8318.01,1479.0,FOURTH WARD DEED RESTR,2006-02-07,2310,101912058,Elementary,65,1,27
134,15368,1211410010014,179280.0,9.999877287062375,29.754690000000004,-95.37986,0.0571,77019,8318.01,1618.0,FOURTH WARD DEED RESTR,2002-07-30,2310,101912058,Elementary,65,1,27
135,15369,1211410010015,280000.0,0.8311366549990638,29.754690000000004,-95.37994,0.0571,77019,8318.01,1459.0,FOURTH WARD DEED RESTR,2018-04-11,2310,101912058,Elementary,65,1,27
136,15370,1211410010016,268000.0,2.79305609892681,29.754690000000004,-95.38002,0.057,77019,8318.01,1417.0,FOURTH WARD DEED RESTR,2015-11-09,2310,101912058,Elementary,65,1,27
137,15371,1211410010017,261547.0,-2.165805705906777,29.754690000000004,-95.3801,0.057,77019,8318.01,1287.0,FOURTH WARD DEED RESTR,2016-11-07,2310,101912058,Elementary,65,1,27
138,15372,1211410010018,278471.0,3.2364379163716306,29.754690000000004,-95.38018000000001,0.057,77019,8318.01,1335.0,FOURTH WARD DEED RESTR,2019-03-07,2310,101912058,Elementary,65,1,27
139,15373,1211410010019,192920.0,9.999885963211732,29.75468,-95.38025999999999,0.057,77019,8318.01,1359.0,FOURTH WARD DEED RESTR,2001-10-16,2310,101912058,Elementary,65,1,27
140,15374,1211410010020,267554.0,3.191542701105759,29.75468,-95.38033,0.0569,77019,8318.01,1188.0,FOURTH WARD DEED RESTR,2013-09-17,2310,101912058,Elementary,65,1,27
141,15375,1211410020001,282524.0,10.0,29.7556,-95.38019,0.0549,77019,8318.01,1606.0,FOURTH WARD DEED RESTR,2014-12-19,2310,101912058,Elementary,65,1,27
142,15377,1211410020003,162982.0,9.99959504879662,29.7556,-95.38003,0.0549,77019,8318.01,1613.0,FOURTH WARD DEED RESTR,2003-01-24,2310,101912058,Elementary,65,1,27
143,15378,1211410020004,294114.0,3.4942150156236806,29.7556,-95.37995,0.055,77019,8318.01,1610.0,FOURTH WARD DEED RESTR,2017-11-17,2310,101912058,Elementary,65,1,27
144,15379,1211410020005,162982.0,9.99959504879662,29.7556,-95.37987,0.0549,77019,8318.01,1502.0,FOURTH WARD DEED RESTR,2012-04-03,2310,101912058,Elementary,65,1,27
145,15380,1211410020006,265000.0,10.878661087866108,29.7556,-95.3798,0.055,77019,8318.01,1618.0,FOURTH WARD DEED RESTR,2006-11-30,2310,101912058,Elementary,65,1,27
146,15381,1211410020007,179280.0,9.999877287062375,29.7556,-95.37971999999999,0.0549,77019,8318.01,1470.0,FOURTH WARD DEED RESTR,2002-07-29,2310,101912058,Elementary,65,1,27
147,15382,1211410020008,170509.0,9.999419388551633,29.7556,-95.37964000000001,0.055,77019,8318.01,1233.0,FOURTH WARD DEED RESTR,2002-10-10,2310,101912058,Elementary,65,1,27
